term,strand,bidirectional,stem_len,loop_len,spacer_len,energy,mismatched_b,GC,Ts,ptsc1,ptsc2,distbef,distaft
1,1,0,26,7,0,8.9,4,42.42,7,4,6.06,55,2284
1,0,0,27,6,0,13,1,36.36,9,5.54,7.79,46,38
1,1,0,12,6,0,4.9,0,55.56,7,4.62,6.06,62,549
1,0,1,22,8,0,8.2,2,40,9,4.44,7.79,137,5545
1,0,1,12,4,0,8.2,0,75,8,4.46,6.93,43,8883
1,0,1,22,3,0,13.7,0,60,10,5.5,8.66,47,910
1,0,1,20,4,0,14.4,4,66.67,10,5.13,8.66,52,153
1,0,1,16,4,0,13.7,0,70,9,4.07,7.79,50,155
1,1,0,24,6,0,17.5,0,40,9,4.13,7.79,528,1074
1,1,0,25,5,1,4,9,54.84,10,5.47,8.66,61,679
1,0,0,18,7,0,10.9,0,32,8,5.69,6.93,51,3795
1,1,0,26,3,1,12.8,0,40,8,4.1,6.93,55,2317
1,0,0,16,6,0,5.9,2,50,8,4.1,6.93,44,204
1,0,0,16,6,0,10.6,0,40.91,8,4.1,6.93,39,197
1,1,1,14,7,0,6.5,0,38.1,9,5.76,7.79,46,70
1,1,0,10,4,0,5,0,64.29,10,4.67,8.66,47,29
1,1,0,16,4,0,10.4,0,55,9,5.54,7.79,50,26
1,1,1,20,3,0,12.3,0,52.17,7,4.76,6.06,458,151
1,1,0,26,5,0,12.2,2,45.16,8,4.1,6.93,232,711
1,1,1,32,4,0,21,0,36.11,9,5.1,7.79,58,537
1,1,0,22,4,0,12.9,0,38.46,9,5.41,7.79,40,156
1,1,1,12,6,0,9.9,0,66.67,7,3.77,6.06,30,394
1,1,0,16,7,0,11.4,0,56.52,9,5.54,7.79,37,217
1,1,0,18,5,0,12,2,69.57,10,5.5,8.66,52,442
1,0,0,25,7,0,16.2,1,53.13,9,5.1,7.79,50,13
1,0,0,25,6,3,10.1,3,44.12,9,5.28,7.79,73,305
1,0,1,14,4,0,7.6,0,55.56,11,5.87,9.52,33,231
1,0,1,12,4,0,8.8,0,56.25,9,5.54,7.79,202,9
1,0,0,24,5,1,7.9,2,46.67,9,4.99,7.79,60,803
1,1,0,20,4,0,14.4,0,54.17,9,5.41,7.79,36,2870
1,1,0,24,7,0,2.6,6,35.48,9,4.35,7.79,54,1439
1,0,0,26,5,0,11.1,6,45.16,8,4.81,6.93,193,869
1,0,1,14,3,0,7.5,0,52.94,9,5.62,7.79,45,112
1,0,0,16,4,1,8.4,0,38.1,10,5.58,8.66,56,868
1,0,1,14,7,0,7.7,0,57.14,8,5.2,6.93,49,276
1,1,1,17,4,0,8.2,1,57.14,9,5.49,7.79,48,3264
1,0,0,16,4,1,8.5,0,47.62,5,3.73,4.33,22,203
1,0,0,21,10,0,12.6,1,51.61,9,5.41,7.79,48,4884
1,1,0,10,6,0,4.8,0,50,6,4.59,5.2,45,371
1,1,0,12,4,0,7.4,0,62.5,9,5.41,7.79,39,14521
1,1,0,10,4,2,7.3,0,68.75,9,5.41,7.79,93,5479
1,0,0,16,4,0,10.9,0,65,9,5.23,7.79,46,115
1,0,0,25,6,3,12.2,1,52.94,8,4.81,6.93,56,36
1,1,0,14,6,0,10.9,0,50,10,5.81,8.66,35,2620
1,0,0,23,9,1,10.2,3,45.45,9,4.17,7.79,55,434
1,1,0,14,4,0,8,0,66.67,10,4.74,8.66,55,790
1,0,1,19,8,0,9.7,1,62.96,8,4.55,6.93,60,115
1,1,0,20,5,0,12.3,0,60,9,4.58,7.79,149,1192
1,0,0,19,6,3,10.3,1,53.57,8,5.38,6.93,72,1126
1,0,1,26,3,0,16.9,0,41.38,9,5.04,7.79,93,3018
1,0,1,16,4,0,10.8,0,55,9,5.7,7.79,48,55
1,0,0,19,6,5,3.2,1,43.33,8,4.26,6.93,135,40
1,1,1,10,5,0,4.7,0,53.33,9,4.35,7.79,52,82
1,0,1,16,4,0,11.5,0,55,8,4.83,6.93,31,1332
1,1,1,14,6,0,11.3,0,55,9,5.09,7.79,462,8325
1,1,0,24,4,0,10.3,2,57.14,9,4.44,7.79,83,18245
1,0,0,29,3,0,13.5,1,40.63,9,4.13,7.79,53,1460
1,0,0,14,4,0,13,0,77.78,9,4.7,7.79,357,910
0,1,0,12,5,5,5.4,2,68.18,3,3.07,2.6,363,1589
0,1,0,0,0,0,0,20,32,4,2.48,3.46,392,1642
0,1,0,0,0,0,0,20,36,4,3.08,3.46,545,1822
0,1,0,13,4,2,1.1,3,36.84,4,2.94,3.46,371,702
0,1,0,8,8,3,0.3,0,42.11,2,2.25,1.73,11841,2719
0,1,0,18,6,1,3.5,2,36,6,3.22,5.2,149,710
0,1,0,12,3,10,1.9,0,32,2,2.32,1.73,1370,232
0,1,0,0,0,0,0,20,20,1,2.25,0.87,18,162
0,1,0,12,5,6,0.2,2,30.43,4,4.23,3.46,216,647
0,1,0,6,3,12,3,0,52.38,5,2.39,4.33,2346,12214
0,1,0,13,3,8,2,1,45.83,2,2.61,1.73,1512,440
0,1,0,20,3,1,0.4,8,37.5,2,2.26,1.73,1304,1204
0,1,0,11,8,4,2.7,5,47.83,5,2.46,4.33,51,1349
0,1,0,6,5,9,0.9,0,45,3,2.72,2.6,72,409
0,1,0,0,0,0,0,20,20,5,3.05,4.33,51,1399
0,1,0,0,0,0,0,20,32,6,3.64,5.2,763,857
0,1,0,0,0,0,0,20,28,5,3.45,4.33,644,35
0,1,0,8,6,10,0,8,25,2,2.25,1.73,972,1517
0,1,0,8,4,1,1.9,0,46.15,6,3.85,5.2,1466,3680
0,1,0,17,6,2,5.6,3,56,4,3.13,3.46,2284,1058
0,1,0,0,0,0,0,20,36,5,2.45,4.33,4633,19669
0,1,0,15,4,2,2.7,3,52.38,5,3.04,4.33,59,23
0,1,0,6,4,13,2.3,0,47.83,3,2.31,2.6,571,137
0,1,0,8,5,12,1.7,0,48,6,2.76,5.2,1814,1005
0,1,0,0,0,0,0,20,24,6,3.14,5.2,703,138
0,1,0,0,0,0,0,20,36,5,2.38,4.33,851,596
0,1,0,4,7,3,0.7,0,50,3,2.63,2.6,8115,2164
0,1,0,0,0,0,0,20,36,5,3.6,4.33,323,356
0,1,0,0,0,0,0,20,24,2,2.28,1.73,9907,14395
0,1,0,0,0,0,0,20,16,6,2.41,5.2,923,115
0,1,0,8,4,0,1,2,66.67,2,2.65,1.73,264,267
0,1,0,8,4,13,2.9,0,48,4,2.95,3.46,248,898
0,1,0,8,6,5,1.3,0,47.37,2,2.92,1.73,11,36
0,0,0,8,7,10,0.4,0,20,2,2.27,1.73,33824,51773
0,0,0,0,0,0,0,20,20,6,3.15,5.2,168,7
0,0,0,6,6,13,2.7,0,52,2,2.93,1.73,2746,38168
0,0,0,0,0,0,0,20,40,3,2.38,2.6,4420,1773
0,0,0,14,6,3,7.8,0,39.13,5,3.11,4.33,787,46
0,0,0,16,4,2,1.4,4,45.45,3,2.32,2.6,388,575
0,0,0,14,3,1,0.9,2,44.44,6,3.96,5.2,474,573
0,0,0,8,8,0,1.1,0,43.75,3,2.57,2.6,7725,14657
0,0,0,8,8,0,2,2,31.25,6,2.81,5.2,467,3535
0,0,0,34,0,0,2.8,16,41.18,3,2.41,2.6,763,1220
0,0,0,6,4,4,0.5,0,42.86,4,3.03,3.46,16805,68792
0,0,0,10,5,3,3.2,0,33.33,2,2.49,1.73,1498,210
0,0,0,0,0,0,0,20,40,2,2.3,1.73,39,3696
0,0,0,6,8,0,0.5,0,42.86,2,2.43,1.73,1090,1945
0,0,0,11,6,0,1.4,5,58.82,1,2.25,0.87,1149,487
0,0,0,0,0,0,0,20,32,6,2.99,5.2,5781,7195
0,0,0,10,7,0,0,10,41.18,2,2.26,1.73,13431,27483
0,0,0,0,0,0,0,20,40,3,3.05,2.6,20900,4444
0,0,0,14,3,8,1.6,2,40,1,2.92,0.87,18504,2985
0,0,0,12,8,5,4.6,0,40,3,2.52,2.6,34326,51271
0,0,0,6,6,5,3,0,29.41,1,2.49,0.87,2329,16929
0,0,0,10,8,0,4.9,0,50,5,2.68,4.33,1173,4298
0,0,0,19,3,3,0.5,5,36,6,3.02,5.2,10952,20551
0,0,0,10,4,9,1.3,0,30.43,3,2.72,2.6,1361,1279
0,0,0,0,0,0,0,20,48,0,2.25,0,2519,9726
0,0,0,8,4,12,5.2,0,54.17,6,2.53,5.2,10512,2458
0,0,0,0,0,0,0,20,44,3,2.57,2.6,15969,5520
0,0,0,12,10,1,5.9,0,43.48,2,2.67,1.73,1431,267
0,0,0,6,6,3,3.7,0,60,3,2.38,2.6,4020,715
0,0,0,12,4,8,1.8,2,29.17,2,2.39,1.73,2299,5441
0,0,0,13,3,5,0.2,1,28.57,1,2.25,0.87,3054,1206
0,0,0,8,6,2,2.8,0,62.5,1,2.25,0.87,419,796
0,0,0,0,0,0,0,20,28,3,3.17,2.6,645,411
